link,title,snippet,date,source
https://www.americanbankingnews.com/2024/02/26/apple-inc-nasdaqaapl-is-united-capital-management-of-ks-inc-s-2nd-largest-position.html,"Apple Inc. (NASDAQ:AAPL) is United Capital Management of KS Inc.'s 2nd 
Largest Position","Read Apple Inc. (NASDAQ:AAPL) is United Capital Management of KS Inc.'s 2nd 
Largest Position at American Banking and Market News.",5 days ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/29/apple-inc-nasdaqaapl-is-sterling-investment-advisors-ltd-s-largest-position.html,"Apple Inc. (NASDAQ:AAPL) is Sterling Investment Advisors Ltd.'s Largest 
Position","Read Apple Inc. (NASDAQ:AAPL) is Sterling Investment Advisors Ltd.'s 
Largest Position at American Banking and Market News.",2 days ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/03/01/apple-inc-nasdaqaapl-stock-position-lessened-by-hm-payson-co.html,Apple Inc. (NASDAQ:AAPL) Stock Position Lessened by HM Payson & Co.,"Read Apple Inc. (NASDAQ:AAPL) Stock Position Lessened by HM Payson & Co. at 
American Banking and Market News.",1 day ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/29/global-wealth-management-investment-advisory-inc-has-10-98-million-stock-position-in-apple-inc-nasdaqaapl.html,"Global Wealth Management Investment Advisory Inc. Has $10.98 Million Stock 
Position in Apple Inc. (NASDAQ:AAPL)","Read Global Wealth Management Investment Advisory Inc. Has $10.98 Million 
Stock Position in Apple Inc. (NASDAQ:AAPL) at American Banking and...",2 days ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/29/apple-inc-nasdaqaapl-shares-sold-by-vestmark-advisory-solutions-inc.html,Apple Inc. (NASDAQ:AAPL) Shares Sold by Vestmark Advisory Solutions Inc.,"Read Apple Inc. (NASDAQ:AAPL) Shares Sold by Vestmark Advisory Solutions 
Inc. at American Banking and Market News.",2 days ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/28/meyer-handelman-co-has-104-40-million-position-in-apple-inc-nasdaqaapl.html,Meyer Handelman Co. Has $104.40 Million Position in Apple Inc. (NASDAQ:AAPL),"Read Meyer Handelman Co. Has $104.40 Million Position in Apple Inc. 
(NASDAQ:AAPL) at American Banking and Market News.",3 days ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/26/apple-inc-nasdaqaapl-shares-purchased-by-r-w-roge-company-inc.html,Apple Inc. (NASDAQ:AAPL) Shares Purchased by R. W. Roge & Company Inc.,"Read Apple Inc. (NASDAQ:AAPL) Shares Purchased by R. W. Roge & Company Inc. 
at American Banking and Market News.",5 days ago,AmericanBankingNEWS
https://www.americanbankingnews.com/2024/02/26/apple-inc-nasdaqaapl-shares-purchased-by-mcclarren-financial-advisors-inc.html,"Apple Inc. (NASDAQ:AAPL) Shares Purchased by McClarren Financial Advisors 
Inc.","Read Apple Inc. (NASDAQ:AAPL) Shares Purchased by McClarren Financial 
Advisors Inc. at American Banking and Market News.",5 days ago,AmericanBankingNEWS
https://finance.yahoo.com/news/increases-ceo-compensation-might-put-101645673.html,"Increases to CEO Compensation Might Be Put On Hold For Now at Apple Inc. 
(NASDAQ:AAPL)","Key Insights Apple to hold its Annual General Meeting on 28th of February 
CEO Tim Cook's total compensation includes...",1 week ago,Yahoo Finance
https://www.americanbankingnews.com/2024/02/26/pacific-capital-wealth-advisors-inc-sells-200-shares-of-apple-inc-nasdaqaapl.html,"Pacific Capital Wealth Advisors Inc. Sells 200 Shares of Apple Inc. 
(NASDAQ:AAPL)","Read Pacific Capital Wealth Advisors Inc. Sells 200 Shares of Apple Inc. 
(NASDAQ:AAPL) at American Banking and Market News.",5 days ago,AmericanBankingNEWS
https://www.detroitnews.com/story/business/autos/2024/02/28/apple-move-to-quit-car-program-a-reprieve-for-detroit-three-tesla/72772709007/,"Apple's move to quit car program offers a reprieve to Detroit Three, Tesla","The sudden demise of Apple Inc.'s car program is a bleak sign for the 
electric-vehicle market. It's also a welcome boon for automakers.",3 days ago,The Detroit News
https://simplywall.st/stocks/us/tech/nasdaq-aapl/apple/news/heres-why-shareholders-may-want-to-be-cautious-with-increasi-149,"Here's Why Shareholders May Want To Be Cautious With Increasing Apple 
Inc.'s (NASDAQ:AAPL) CEO Pay Packet","Key Insights Apple will host its Annual General Meeting on 28th of February 
Total pay for CEO Tim Cook includes...",1 week ago,Simply Wall St
https://www.americanbankingnews.com/2024/02/26/achmea-investment-management-b-v-has-314-07-million-stake-in-apple-inc-nasdaqaapl.html,"Achmea Investment Management B.V. Has $314.07 Million Stake in Apple Inc. 
(NASDAQ:AAPL)","Read Achmea Investment Management B.V. Has $314.07 Million Stake in Apple 
Inc. (NASDAQ:AAPL) at American Banking and Market News.",5 days ago,AmericanBankingNEWS
https://www.bloomberg.com/news/articles/2024-02-29/apple-s-iphone-steeply-discounted-in-china-on-weak-demand,Apple's iPhone Steeply Discounted in China On Weak Demand,"Apple Inc.'s resellers in China are slashing the price of iPhone 15 models 
by as much as $180, signaling an unusually prolonged slump in...",2 days ago,Bloomberg
https://9to5mac.com/2024/02/29/iphone-discounts-in-china/,Steep iPhone discounts in China in response to weak demand,"A new report today says that there is increasing evidence of steep iPhone 
discounts being used in China in an attempt to counter weak demand...",2 days ago,9to5Mac
https://simplywall.st/stocks/us/tech/nasdaq-aapl/apple/news/apple-incs-nasdaqaapl-shareholders-might-be-looking-for-exit,Apple Inc.'s (NASDAQ:AAPL) Shareholders Might Be Looking For Exit,"Does Growth Match The High P/E? Apple's P/E ratio would be typical for a 
company that's expected to deliver very strong growth, and importantly,...","Dec 21, 2023",Simply Wall St
https://www.caixinglobal.com/2024-03-01/apples-iphone-steeply-discounted-in-china-on-weak-demand-102170358.html,Apple’s iPhone Steeply Discounted in China on Weak Demand,"(Bloomberg) — Apple Inc.'s resellers in China are slashing the price of 
iPhone 15 models by as much as $180, signaling an unusually...",1 day ago,Caixin Global
https://www.investors.com/promoted-content/northcoast-asset-management/buy-the-dip-in-apple-or-has-the-trend-turned-rotten-2/,"Buy the Dip in Apple, or has the Trend Turned Rotten?","Editor's note: Any and all references to time frames longer than one 
trading day are for purposes of market context only,...","Sep 29, 2023",Investor's Business Daily
https://stocknews.com/news/aapl-vtkly-pcrfy-dakt-is-apple-aapl-giving-buy-or-sell-signals-for-december/,AAPL: Is Apple (AAPL) Giving Buy or Sell Signals for December?,"Apple Inc.(NASDAQ:AAPL): Although Apple (AAPL) has been benefitting from 
softening inflation, it witnessed a drop in revenue in its last...","Dec 7, 2023",StockNews.com
https://www.statista.com/statistics/265125/total-net-sales-of-apple-since-2004/,Apple revenue worldwide 2023,"Apple's total net sales amounted to 383.29 billion U.S. dollars in their 
2023 financial year, a decrease from the historical record of...","Nov 6, 2023",Statista
https://www.bloomberg.com/news/newsletters/2023-10-22/what-is-apple-doing-in-ai-revamping-siri-search-apple-music-and-other-apps-lo1ffr7p,"What Is Apple Doing in AI? Revamping Siri, Search, Apple Music and other 
Apps","Apple was caught flat-footed when ChatGPT and other AI tools took the 
technology industry by storm. But the company is now preparing its...","Oct 22, 2023",Bloomberg.com
https://www.business-standard.com/companies/news/apple-s-longest-serving-designer-to-depart-company-adding-to-exodus-124021400055_1.html,"Apple's longest-serving designer to depart company, adding to exodus","Apple Inc.'s longest-serving senior industrial designer is leaving the 
company, marking the near-complete turnover of a team once led by...",2 weeks ago,Business Standard
https://capital.com/apple-inc-q4-results-results-rest-on-china-demand-and-iphone-15,Apple Inc Q4 results: results rest on China demand and iPhone 15,"Apple will deliver its Q4 earnings after the closing bell on Thursday, 
November 2, 2023. We preview what the markets are expecting heading...","Nov 1, 2023",Capital.com
https://fortune.com/2024/01/11/apple-board-shakeup-al-gore/,"Apple undergoes its biggest board shakeup in years as 2 longtime directors 
depart, including Al Gore","In one of Apple Inc.'s biggest board shake-ups in years, longtime directors 
Al Gore and James Bell will be retiring from the company,...",1 month ago,Fortune
https://www.bloomberg.com/news/articles/2024-02-02/apple-china-slowdown-sparks-fears-that-prized-market-is-at-risk,Apple China Slowdown Sparks Fears That Prized Market Is at Risk,"Apple Inc.'s latest quarterly results triggered investor fears that the 
company is losing clout in China, a long-prized market that...",1 month ago,Bloomberg.com
https://www.bloomberg.com/news/articles/2023-09-30/apple-says-software-behind-iphone-overheating-bug-fix-is-coming,"Why Is Apple iPhone Overheating? It's Due to Software, Fix Is Coming","Apple Inc. on Saturday said that recent claims of new iPhones getting too 
hot to the touch are due to software and app-related bugs and that...","Sep 30, 2023",Bloomberg
https://www.bloomberg.com/news/articles/2023-10-30/apple-iphone-china-sales-hit-by-huawei-resurgence,Apple iPhone China Sales Hit by Huawei Resurgence,"There is growing evidence that Apple Inc.'s latest iPhone is falling shy of 
its predecessor in China, suggesting a setback for the world's...","Oct 30, 2023",Bloomberg.com
https://www.apple.com/apple-watch-series-9/,Apple Watch Series 9,"Our most capable chip in a smartwatch ever. A magical new way to interact 
with your Apple Watch. And a display that's twice as bright.","Sep 12, 2023",Apple
https://www.fastcompany.com/91033272/apple-sports-app,Apple's new Sports app for the iPhone is all about the scores,"Since the day the iPhone first went on sale, it's come with Apple's apps 
for checking the weather and monitoring stock prices.",1 week ago,Fast Company
https://www.cnn.com/markets/stocks/AAPL,AAPL Stock Quote Price and Forecast,"View Apple Inc. AAPL stock quote prices, financial information, real-time 
forecasts, and company news from CNN.","Aug 24, 2023",CNN
https://news.bloomberglaw.com/ip-law/weak-bid-to-pause-apple-watch-import-ban-should-fail-itc-says,"'Weak' Bid to Pause Apple Watch Import Ban Should Fail, ITC Says","The US International Trade Commission urged an appeals court to reject 
Apple Inc.'s “weak and unconvincing” arguments supporting a bid to...",1 month ago,Bloomberg Law News
https://www.bloomberg.com/news/articles/2023-10-12/apple-suppliers-in-taiwan-had-their-worst-month-since-june,Apple Suppliers in Taiwan Had Their Worst Month Since June,"Apple Inc.'s key suppliers in Taiwan saw another major sales drop in 
September, despite the launch of a new iPhone and several Android...","Oct 11, 2023",Bloomberg
https://www.bloomberg.com/news/articles/2023-10-04/apple-considered-switch-to-search-engine-duckduckgo-from-google,Apple Considered Switch to Search Engine DuckDuckGo From Google,"Apple Inc. held talks with DuckDuckGo to replace Alphabet Inc.'s Google as 
the default search engine for the private mode on Apple's Safari...","Oct 5, 2023",Bloomberg
https://www.bloomberg.com/news/articles/2023-09-26/apple-to-testify-it-sees-no-need-to-deploy-google-alternative,Apple to Testify It Sees No Need to Deploy Google Alternative,"Apple Inc.'s lucrative agreement to use Alphabet Inc.'s Google as the 
default search engine for the iPhone includes a provision that the two...","Sep 26, 2023",Bloomberg
https://energynow.ca/2024/02/apples-electric-vehicle-wind-down-offers-reprieve-to-tesla-detroit-rivals/,"Apple’s Electric-Vehicle Wind Down Offers Reprieve to Tesla, Detroit Rivals 
- Canadian Energy News, Top Headlines ...","Automakers now have one fewer competitor to worry about in a crowded and 
uncertain arena. Bloomberg News. The sudden demise of Apple Inc.'s...",2 days ago,EnergyNow
https://www.bloomberg.com/news/articles/2023-11-03/apple-ceo-seeks-to-ease-fears-that-iphone-is-in-trouble-in-china,Apple (AAPL) CEO Tim Cook Seeks to Ease Fears of Weak iPhone Demand in China,"Apple Inc.'s disappointing holiday-quarter outlook has cast a spotlight on 
its mounting problems in China, where the iPhone maker is...","Nov 3, 2023",Bloomberg.com
https://www.bloomberg.com/news/newsletters/2023-06-30/apple-s-aapl-near-3-trillion-valuation-isn-t-about-the-vision-pro-headset,Apple's $3 Trillion Valuation Isn't About the Vision Pro Headset,"Apple's $3 trillion valuation doesn't mean investors love the new headset. 
But first...","Jun 30, 2023",Bloomberg
https://www.apple.com/apple-watch-ultra-2/,Apple Watch Ultra 2,"Introducing Apple Watch Ultra 2. Rugged and capable, with the brightest 
Apple display, carbon neutral case and band combinations, and new band 
colors.","Sep 12, 2023",Apple
https://www.bloomberg.com/news/articles/2023-11-16/apple-plans-to-adopt-rcs-texting-standard-in-truce-with-android,Apple (AAPL) Plans to Adopt RCS Texting Standard in Truce With Android,"In a major reversal, Apple Inc. plans to adopt a technological standard 
next year that will allow text messaging to operate more smoothly...","Nov 16, 2023",Bloomberg
https://financialpost.com/investing/megacap-slump-testing-apple-safe-haven-status,Megacap slump is testing Apple’s safe-haven status,"Megacap slump is testing Apple's safe-haven status Back to video ... Recent 
weeks have seen the stock fail to live up to its reputation as a haven...","Oct 2, 2023",Financial Post
https://www.bloomberg.com/news/articles/2024-01-09/china-says-cracked-apple-s-airdrop-to-identify-message-sources,China Says It Cracked Apple AirDrop to Identify Message Sources,"A Chinese state-backed institution has devised a way to identify users who 
send messages via Apple Inc.'s popular AirDrop feature,...",1 month ago,Bloomberg
https://financialpost.com/investing/microsoft-apple-spot-worlds-most-valuable-stock,Microsoft eyes Apple’s spot as world’s most valuable stock,"Microsoft Corp. is narrowing the gap with Apple Inc. in the stock market as 
investors see better growth and far less China risk. Read more.","Sep 19, 2023",Financial Post
https://www.investopedia.com/apple-shares-fall-after-halting-watch-sales-8417422,Apple Shares Fall After Reports It Will Halt US Sales of Latest Watches,"Apple Inc. reportedly is halting sales of its newest smartwatches later 
this week due to a patent dispute over blood oxygen sensor...","Dec 18, 2023",Investopedia
https://financialpost.com/investing/apple-below-historic-3-trillion-value-sales-fall,Apple set to dip below historic $3-trillion value as sales fall,"Apple Inc.'s market value is set to dip below the historic $3-trillion 
level after it posted declining sales in Q3. Find out more.","Aug 4, 2023",Financial Post
https://www.bloomberg.com/news/articles/2023-08-04/apple-set-to-relinquish-historic-3-trillion-value-as-sales-fall,Apple (AAPL) Loses Historic $3 Trillion Value as Sales Fall,"Apple Inc.'s market value is now decisively below the historic $3 trillion 
level, after the iPhone maker's outlook for the fourth quarter...","Aug 4, 2023",Bloomberg
https://www.bloomberg.com/news/articles/2023-08-03/apple-meets-estimates-after-services-help-offset-hardware-slump,Apple (AAPL) Meets Estimates After Services Help Offset Hardware Slump,"Error: Could not download required scripts. Please update your browser or 
turn off ad blocker to continue to watch. WATCH: Apple Inc.'s...","Aug 4, 2023",Bloomberg.com
https://www.bloomberg.com/news/articles/2023-05-22/apple-s-relentless-rally-puts-3-trillion-in-view-tech-watch,Apple (AAPL) Relentless Stock Price Rally Puts $3 Trillion in View,"Apple Inc.'s rally in 2023 has brought it back to the brink of a historic 
threshold: a $3 trillion market valuation.","May 22, 2023",Bloomberg
https://www.bloomberg.com/news/articles/2023-06-30/apple-rally-past-analyst-targets-may-be-sign-of-overheated-stock,Apple Stock's Surge Above Analyst Targets Point to Near-Term Pullback,"Apple Inc.'s surge this year has officially made the iPhone-maker the first 
company with a $3 trillion market value, but at least one metric...","Jun 30, 2023",Bloomberg
https://news.bloombergtax.com/daily-tax-report-state/cupertino-reserving-56-5-million-to-repay-tax-from-apple-sales,Cupertino Reserving $56.5 Million to Repay Tax From Apple Sales,"Apple Inc.'s hometown of Cupertino is preparing to set aside $56.5 million 
to repay California sales tax revenue it may have received...","Oct 6, 2023",Bloomberg Law
https://www.bloomberg.com/news/newsletters/2024-01-07/apple-2024-plans-challenges-gen-ai-vision-pro-china-sales-app-store-changes-lr3k9p8p,"Apple 2024 Plans, Challenges: Gen AI, Vision Pro, China Sales, App Store 
Changes","Apple has a big year ahead for new products, but also faces challenges 
ranging from trying to catch up in AI to dealing with changes to the...",1 month ago,Bloomberg
https://www.bloomberg.com/news/newsletters/2023-11-19/apple-in-house-technologies-team-eyes-making-cameras-screens-modems-batteries-lp5j5h6b,"Apple In-House Technologies Team Eyes Making Cameras, Screens, Modems, 
Batteries","This week, we go inside Apple's quest to replace every major part of the 
iPhone with an in-house design. Also: The company is finally...","Nov 19, 2023",Bloomberg
https://www.bloomberg.com/news/articles/2023-09-07/apple-poised-to-shed-194-billion-as-china-broadens-iphone-ban,Apple (AAPL) Poised to Shed $194 Billion as China Broadens iPhone Ban,"Apple Inc. shares fell almost 3% Thursday, wiping out nearly $200 billion 
of market value in just two days, as China plans to expand a ban...","Sep 7, 2023",Bloomberg
https://telecom.economictimes.indiatimes.com/news/devices/apples-1-trillion-rally-to-be-tough-to-live-up-to-in-2024/106212785,Apple’s $1-trillion rally to be tough to live up to in 2024,"Apple Inc.: The stock's 50% rally this year — driven by investor bets that 
the iPhone maker will continue to churn out big profits...","Dec 22, 2023",ET Telecom
https://www.bloomberg.com/news/articles/2023-09-25/apple-s-cheapest-iphone-surges-in-popularity-after-upgrades,Apple's Basic iPhone 15 Model Surges in Popularity After Upgrades,"Apple Inc.'s basic iPhone 15 model is taking almost twice as long for 
deliveries this year than its predecessor, signaling high demand for...","Sep 25, 2023",Bloomberg
https://www.bloomberg.com/news/articles/2024-01-25/apple-s-iphone-tops-china-smartphone-market-for-first-time-despite-challenges,"IPhone Was Best-Selling Phone in China in 2023 Despite Competition From 
Huawei","Apple Inc.'s iPhone was the top-selling smartphone series in China for the 
first time last year, a surprisingly strong showing in the face...",1 month ago,Bloomberg
https://www.bloomberg.com/news/articles/2024-01-17/justice-department-to-file-apple-antitrust-case-as-soon-as-march,Justice Department to File Apple (AAPL) Antitrust Case as Soon as March,"Apple Inc. is poised to face a US antitrust lawsuit as soon as March as the 
Justice Department prepares to take on one of the world's most...",1 month ago,Bloomberg
https://uk.investing.com/news/stock-market-news/will-apple-open-up-about-ai-shareholders-want-answers-but-iphone-maker-warns-of-competition-risks-3354488,"Will Apple Open Up About AI? Shareholders Want Answers But iPhone Maker 
Warns Of Competition Risks By Benzinga","Benzinga - by Ananya Gairola, Benzinga Staff Writer. Apple Inc.'s 
(NASDAQ:AAPL) annual shareholder meeting will be held on Wednesday,...",4 days ago,Investing.com UK
https://www.livemint.com/companies/news/apple-to-file-challenge-over-digital-markets-act-in-eu-court-11699625796374.html,Apple Inc to challenge latest EU crackdown on big tech dominance | Mint,"Apple Inc is set to challenge the European Union's decision to put all of 
the App Store into the bloc's new digital antitrust list,...","Nov 10, 2023",mint
https://www.ocregister.com/2024/01/17/apple-passed-samsung-as-worlds-top-phone-maker-in-2023/,Apple passed Samsung as world’s top phone maker in 2023,"Apple Inc.'s iPhone dethroned Samsung Electronics Co. devices to become the 
best-selling smartphone series over the course of 2023,...",1 month ago,Orange County Register
https://www.bloomberg.com/news/articles/2023-04-17/apple-s-india-sales-near-6-billion-as-cook-begins-retail-push,"Apple (AAPL) India Sales Near $6 Billion as Tim Cook Starts to Open First 
Stores","Apple Inc.'s sales in India hit a new high of almost $6 billion in the year 
through March, highlighting the market's increasing importance...","Apr 17, 2023",Bloomberg
https://www.bloomberg.com/news/newsletters/2024-01-28/apple-eu-changes-sideloading-third-party-app-stores-are-future-of-the-iphone-lrxjzbg6,"Apple EU Changes: Sideloading, Third-Party App Stores Are Future of the 
iPhone","Apple's European Union revamp of the App Store and iOS gave us a glimpse at 
a less hostile and more open future for the iPhone — even if...",1 month ago,Bloomberg
https://finance.yahoo.com/news/huawei-mystery-phone-shows-wireless-094913360.html,Huawei's Mystery Phone Shows Wireless Speeds as Fast as Apple,"(Bloomberg) -- Huawei Technologies Co.'s latest smartphone clearly 
demonstrates wireless speeds akin to Apple Inc.'s latest iPhones in...","Sep 1, 2023",Yahoo Finance
https://www.bloomberg.com/news/articles/2024-02-15/apple-s-ai-plans-github-copilot-rival-for-developers-tool-for-testing-apps,"Apple’s AI Plans: GitHub Copilot Rival for Developers, Tool for Testing Apps","Apple Inc., racing to add more artificial intelligence capabilities, is 
nearing the completion of a critical new software tool for app...",2 weeks ago,Bloomberg
https://www.bloomberg.com/news/newsletters/2024-01-21/apple-vision-pro-lack-of-netflix-youtube-app-store-tensions-threaten-device-lrnjwjb3,"Apple Vision Pro: Lack of Netflix, YouTube, App Store Tensions Threaten 
Device","Apple's new Vision Pro will lack some key apps when it debuts, renewing 
concerns about an already-tense relationship with certain developers...",1 month ago,Bloomberg
https://www.bloomberg.com/news/articles/2024-01-08/iphone-sales-in-china-to-fall-double-digits-jefferies-says,"IPhone Sales in China to Fall Double Digits, Jefferies Says","Apple Inc.'s iPhone sales slump in China is deepening and the company is 
likely to see volumes decline further this year, according to...",1 month ago,Bloomberg.com
https://fortune.com/2023/10/11/google-ceo-sundar-pichai-founders-larry-page-sergey-brin-bad-optics-search-engine-deal-apple-chrome/,"Google CEO Pichai wrote to founders Page and Brin to decry bad ‘optics’ of 
search engine deal with Apple when he was in charge of Chrome","Google's Sundar Pichai raised concerns years before he became the company's 
chief executive officer that its deal with Apple Inc. had bad...","Oct 11, 2023",Fortune
https://www.bloomberg.com/news/newsletters/2024-01-24/apple-vision-pro-plays-defense-against-meta-quest-vr-headset,Apple Vision Pro Plays Defense Against Meta Quest VR Headset,"The Apple headset looks like a form of insurance against Meta. But first… 
Three things you need to know today:.",1 month ago,Bloomberg.com
https://news.bloomberglaw.com/ip-law/apples-wins-at-patent-tribunal-upheld-as-masimo-loses-appeal,Apple's Wins at Patent Tribunal Upheld As Masimo Loses Appeal,"Apple Inc.'s victories at an administrative tribunal that voided two 
patents Masimo Corp. alleged the Apple Watch infringes will stand,...",1 month ago,Bloomberg Law News
https://www.cnbc.com/2023/08/01/apple-could-benefit-in-china-from-users-spending-more-on-smartphones.html,"Chinese are forking out more money for smartphones despite wider slowdown — 
that's good news for Apple","The average selling price of smartphones in China is on the rise even as 
the overall market declines. This is positive for sales of Apple's...","Jul 31, 2023",CNBC
https://www.law360.com/articles/1773864/fed-circ-wrestles-with-apple-bid-to-ax-more-masimo-patents,Fed. Circ. Wrestles With Apple Bid To Ax More Masimo Patents,"Federal Circuit judges on Wednesday questioned Apple Inc.'s contention that 
the Patent Trial and Appeal Board wrongly upheld the validity of...","Dec 6, 2023",Law360
https://www.business-standard.com/technology/tech-news/apple-gets-warning-from-top-us-consumer-watchdog-on-tap-to-pay-tech-123090701365_1.html,Apple gets warning from top US consumer watchdog on Tap To Pay tech,"Tap-to-pay transactions have exploded in recent years as mobile devices 
became ever-present, making paying via a smartphone more and more...","Sep 7, 2023",Business Standard
https://www.bloomberg.com/news/articles/2023-10-31/apple-s-app-charges-violate-eu-antitrust-law-dutch-agency-says,"Apple's App Charges Violate EU Antitrust Law, Dutch Agency Says","Apple Inc. could be forced to scale back its App Store fees for developers 
after one of the European Union's antitrust watchdogs said its...","Oct 31, 2023",Bloomberg
https://www.bloomberg.com/news/articles/2023-12-06/apple-aapl-executive-who-invented-iphone-multitouch-and-touch-id-leaving,"Apple's (AAPL) Steve Hotelling, Who Invented iPhone Screen and Touch ID, 
Retires","Apple Inc.'s senior executive overseeing touch-screen technology, health 
sensors and the company's Face ID interface is leaving the company,...","Dec 6, 2023",Bloomberg
https://www.bloomberg.com/news/articles/2023-09-08/apple-event-2023-iphone-15-pro-max-airpods-watch-series-9-products-to-expect,"Apple Event 2023: iPhone 15 Pro Max, AirPods, Watch Series 9, Products to 
Expect","Company will spotlight titanium iPhone 15 Pro and cameras, switch to USB-C 
chargers and faster smartwatches.","Sep 8, 2023",Bloomberg
https://tech.hindustantimes.com/tech/news/apple-2023-event-high-stakes-iphone-15-launch-explained-in-5-charts-71694460135678.html,Apple 2023 event: High-stakes iPhone 15 launch explained in 5 charts,"Apple event 2023: Apple Inc.'s annual iPhone unveiling is always its most 
momentous time of the year — a chance to impress consumers with...","Sep 12, 2023",HT Tech
